Country;Settlement;Repository;Shelfmark;manifest;IMPR
FR;Chantilly;Bibliothèque et archives du musée Condé;0083 (1385);https://bvmm.irht.cnrs.fr/iiif/239/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0084 (0071);https://bvmm.irht.cnrs.fr/iiif/240/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0085 (1175);https://bvmm.irht.cnrs.fr/iiif/241/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0086 (1178);https://bvmm.irht.cnrs.fr/iiif/22387/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0087 (1557);https://bvmm.irht.cnrs.fr/iiif/242/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0088 (1123);https://bvmm.irht.cnrs.fr/iiif/243/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0094 (1285);https://bvmm.irht.cnrs.fr/iiif/248/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0117 (1454);https://bvmm.irht.cnrs.fr/iiif/265/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;0408 (1574);https://bvmm.irht.cnrs.fr/iiif/22264/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;1476 (1943);https://bvmm.irht.cnrs.fr/iiif/460/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;1480 (1966);https://bvmm.irht.cnrs.fr/iiif/459/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;Bernier-I-C-028;https://bvmm.irht.cnrs.fr/iiif/22223/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;Bernier-I-D-041;https://bvmm.irht.cnrs.fr/iiif/22233/manifest;
FR;Chantilly;Bibliothèque et archives du musée Condé;Bernier-I-E-009;https://bvmm.irht.cnrs.fr/iiif/22238/manifest;
FR;Chartres;Bibliothèque municipale;0929;https://bvmm.irht.cnrs.fr/iiif/23221/manifest;
FR;Château-Gontier;Bibliothèque municipale;0014;https://bvmm.irht.cnrs.fr/iiif/1231/manifest;
FR;Chaumont;Bibliothèque municipale;0034 (027);https://bvmm.irht.cnrs.fr/iiif/5092/manifest;
FR;Coutances;Bibliothèque municipale;0004;https://bvmm.irht.cnrs.fr/iiif/162/manifest;
FR;Dieppe;Château-Musée;inv. 0978.4.4;https://bvmm.irht.cnrs.fr/iiif/20455/manifest;
FR;Douai;Bibliothèque municipale;0178;https://bvmm.irht.cnrs.fr/iiif/21525/manifest;
FR;Douai;Bibliothèque municipale;0179;https://bvmm.irht.cnrs.fr/iiif/21524/manifest;
FR;Douai;Bibliothèque municipale;0182;https://bvmm.irht.cnrs.fr/iiif/21523/manifest;
FR;Douai;Bibliothèque municipale;0183;https://bvmm.irht.cnrs.fr/iiif/21522/manifest;
FR;Douai;Bibliothèque municipale;0184;https://bvmm.irht.cnrs.fr/iiif/21521/manifest;
