"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","rowname.unlist","n"
"26",14,58,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"_DIE60",1
"27",14,68,72,NA,32,79,40,NA,56,83,38,NA,"Carpentras_VAT53",1
"28",14,68,72,NA,32,79,90,NA,40,83,38,NA,"Arles_BN1091",1
"29",14,71,36,NA,11,64,35,NA,57,72,NA,NA,"Old Roman_VAT58",1
"30",14,72,1,NA,32,NA,68,NA,90,83,38,NA,"Uzes_BN23965",1
"31",14,72,1,NA,68,46,58,NA,32,58,38,NA,"St. Etienne-de-Troyes_TROY1043",1
"32",14,72,1,NA,90,32,57,NA,68,46,79,NA,"Lerins_BN10486",1
"33",14,72,3,NA,11,60,35,NA,36,57,NA,NA,"Old Roman_VAT79",1
"34",14,72,10,NA,32,57,1,NA,68,46,38,NA,"St. Severus Erfurt_BN4954B",1
"35",14,72,11,NA,28,24,32,NA,57,68,38,NA,"Carcassonne_BN1011",1
"36",14,72,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autun_S.1938-1",1
"37",14,72,13,NA,32,57,58,NA,24,40,38,NA,"Ste Waudru Mons_BL16(2)",1
"38",14,72,13,NA,32,57,83,NA,68,40,38,18,"Maubeuge_CAMBR133",1
"39",14,72,13,NA,32,57,83,NA,68,40,38,NA,"Maubeuge_VAT10288",1
"40",14,72,13,NA,32,57,83,NA,68,82,38,NA,"St. Ghislain_DOUAI133",1
"41",14,72,13,NA,32,68,46,NA,79,40,38,NA,"Grenoble_GREN784",1
"42",14,72,13,NA,32,68,57,NA,40,58,38,NA,"Ste Waudru Mons_BN1073",1
"43",14,72,13,NA,32,68,83,NA,58,93,38,NA,"_S.1938-5",1
"44",14,72,18,24,32,57,12,28,68,40,38,82,"St. Mary`s York_CAM27",1
"45",14,72,21,NA,32,36,79,NA,56,68,38,NA,"Adge_BN763",1
"46",14,72,21,NA,82,32,83,NA,68,28,38,NA,"Lerida_BN1309(A)",1
"47",14,72,21,NA,90,83,38,NA,79,28,92,NA,"St. Victor Marseilles_AIX14D",1
"48",14,72,24,1,32,57,28,79,68,40,82,38,"Ochsenhausen_STUTT117",1
"49",14,72,24,12,32,57,38,NA,68,28,46,NA,"St. Pere de Chartres_S.1954-1",1
"50",14,72,24,18,32,57,58,NA,68,82,38,NA,"St. Riquier_ABBV17",1
"51",14,72,24,36,90,32,57,67,28,46,38,NA,"St. Amand_VAL116",1
"52",14,72,24,36,90,32,57,67,68,28,46,38,"Arles-sur-Tech_NARB166 Sherborne_OXF12 Anchin_DOUAI159",3
"53",14,72,24,40,90,32,57,1,68,28,46,38,"Bourgueil_BN1071",1
"54",14,72,24,44,32,57,36,NA,68,46,NA,NA,"Saintes_BN16309",1
"55",14,72,24,67,90,32,57,NA,68,28,38,NA,"Vezelay_LYO555",1
"56",14,72,24,79,32,57,28,1,68,40,38,NA,"Zwiefalten_STUTT116 Blaubeuren_STUTT222",2
"57",14,72,24,NA,1,83,79,NA,47,18,38,NA,"_ZUR174",1
"58",14,72,24,NA,28,32,57,NA,71,40,38,NA,"Salerno_SALERNO",1
"59",14,72,24,NA,32,24,28,NA,68,82,38,NA,"Rennes_GEN2679",1
"60",14,72,24,NA,32,28,57,NA,68,11,38,NA,"Strasburg_MCR484",1
"61",14,72,24,NA,32,28,57,NA,68,11,40,NA,"Leopold's Psalter_KLNB987B",1
"62",14,72,24,NA,32,28,57,NA,68,40,38,NA,"Subiaco_SUB160 Zwiefalten_STUTT105",2
"63",14,72,24,NA,32,28,57,NA,68,82,38,NA,"Metz_METZ336",1
"64",14,72,24,NA,32,32,57,NA,68,28,38,NA,"Lyre_EVREUX121",1
"65",14,72,24,NA,32,57,12,NA,68,40,38,NA,"Bayeux_BAYEUX74D",1
"66",14,72,24,NA,32,57,28,40,68,82,38,NA,"Rouen_BN10549",1
"67",14,72,24,NA,32,57,28,NA,46,NA,38,NA,"_VAT7231",1
"68",14,72,24,NA,32,57,28,NA,68,28,38,NA,"Sarum_S.1953-1",1
"69",14,72,24,NA,32,57,28,NA,68,40,38,82,"Hospitallers_STRASN1",1
"70",14,72,24,NA,32,57,28,NA,68,40,38,NA,"Jerusalem_BL1139 Hospitallers_MAZ355 Marguerite's Hours_BL36684 Brigittine_UPS489 Blaubeuren_STUTT118 Bayeux_GEN2712 Zwiefalten_STUTT117 Remiremont_BN1508",8
"71",14,72,24,NA,32,57,28,NA,68,40,56,46,"Camaldolese (Rome)_VAT7722",1
"72",14,72,24,NA,32,57,28,NA,68,40,56,NA,"Camaldolese (Rome)_VAT7599 Camaldolese (Florence)_BL27171 Camaldolese_MIL1048",3
"73",14,72,24,NA,32,57,28,NA,68,40,79,90,"Camaldolese_TOL14",1
"74",14,72,24,NA,32,57,28,NA,68,40,79,NA,"St. Eutizio_VALL8 Nursia_VALL5",2
"75",14,72,24,NA,32,57,28,NA,68,40,82,NA,"Zwiefalten_KRL60B St. Lambrecht_BL18306B",2
"76",14,72,24,NA,32,57,28,NA,68,46,38,40,"Dominican_CPHN632",1
"77",14,72,24,NA,32,57,28,NA,68,46,38,NA,"Dominican_CLG20 Ste Croix Paris_MAZ372 Teutonic Order_FULD122B _STKH102 Uppsala_STKHTL Skara_UPS97 Västeras_GEN1292 Abo_STKHSN1 Mercedarians_MADR14265 Dominican Vienna_VIE1894",10
"78",14,72,24,NA,32,57,28,NA,68,71,40,NA,"Pontetetto_LUCCA601 Lucca_LUCCA606",2
"79",14,72,24,NA,32,57,28,NA,68,76,40,NA,"Canterbury_BL155",1
"80",14,72,24,NA,32,57,28,NA,68,82,38,12,"Vannes_GEN225",1
"81",14,72,24,NA,32,57,28,NA,68,82,38,40,"Crowland_BL230 Sarum_EDINB13 Coutances_BN786D Lisieux_GEN113 Rouen_ROUEN326 _S.1935-5 Brigittine (Syon)_OXF4 Aberdeen_ABERDSN",8
"82",14,72,24,NA,32,57,28,NA,68,82,38,NA,"Nidaros_CPHN133 Carmelite_BLU-C Hereford_HEREFDSN Lincoln_BL38116 Metz_ARS570 Sarum_BL305 Templars_BN10478D Rennes_S.1893 Oxford_VAT4757 Rouen_BN4600 _HAAG68 St. Arnulf_METZ333 Lisieux_CAEN17 Coutances_S.1953-2 The Hague_HAAG73B Hospitallers_BN1400 Hours of Marie de Bohun_CPHT547 Montieramey_BN1063 Seez_BN1272 St. Lo-de-Rouen_GEN1265 St. Jacut-de-la-Mer_BN3081 St. Sauveur Toul_BN17998 St. Lo-de-Coutances_GEN2722 Dol_OXF26 Aversa_VAT12 St. Maur Verdun_EPIN235",26
"83",14,72,24,NA,32,57,28,NA,68,82,40,38,"Coutances_MADR20 Ste Catherine-du-Mont_ROUEN203 Senones_NOGSN",3
