"from","to","Weight"
"Rouen_BN4600","St. Lo-de-Coutances_GEN2722","9"
"Rouen_BN4600","Dol_OXF26","9"
"Rouen_BN4600","Aversa_VAT12","9"
"Rouen_BN4600","Vannes_GEN225","9"
"Rouen_BN4600","Crowland_BL230","9"
"Rouen_BN4600","Sarum_EDINB13","9"
"Rouen_BN4600","Coutances_BN786D","9"
"Rouen_BN4600","Lisieux_GEN113","9"
"Rouen_BN4600","Rouen_ROUEN326","9"
"Rouen_BN4600","_S.1935-5","9"
"Rouen_BN4600","Brigittine (Syon)_OXF4","9"
"Rouen_BN4600","Aberdeen_ABERDSN","9"
"Rouen_BN4600","Rouen_BN10549","9"
"Rouen_BN4600","St. Maur Verdun_EPIN235","9"
"_HAAG68","St. Arnulf_METZ333","9"
"_HAAG68","Lisieux_CAEN17","9"
"_HAAG68","Coutances_S.1953-2","9"
"_HAAG68","The Hague_HAAG73B","9"
"_HAAG68","Hospitallers_BN1400","9"
"_HAAG68","Hours of Marie de Bohun_CPHT547","9"
"_HAAG68","Montieramey_BN1063","9"
"_HAAG68","Seez_BN1272","9"
"_HAAG68","St. Lo-de-Rouen_GEN1265","9"
"_HAAG68","St. Jacut-de-la-Mer_BN3081","9"
"_HAAG68","St. Sauveur Toul_BN17998","9"
"_HAAG68","St. Lo-de-Coutances_GEN2722","9"
"_HAAG68","Dol_OXF26","9"
"_HAAG68","Aversa_VAT12","9"
"_HAAG68","Vannes_GEN225","9"
"_HAAG68","Crowland_BL230","9"
"_HAAG68","Sarum_EDINB13","9"
"_HAAG68","Coutances_BN786D","9"
"_HAAG68","Lisieux_GEN113","9"
"_HAAG68","Rouen_ROUEN326","9"
"_HAAG68","_S.1935-5","9"
"_HAAG68","Brigittine (Syon)_OXF4","9"
"_HAAG68","Aberdeen_ABERDSN","9"
"_HAAG68","Rouen_BN10549","9"
"_HAAG68","St. Maur Verdun_EPIN235","9"
"St. Arnulf_METZ333","Lisieux_CAEN17","9"
"St. Arnulf_METZ333","Coutances_S.1953-2","9"
"St. Arnulf_METZ333","The Hague_HAAG73B","9"
"St. Arnulf_METZ333","Hospitallers_BN1400","9"
"St. Arnulf_METZ333","Hours of Marie de Bohun_CPHT547","9"
"St. Arnulf_METZ333","Montieramey_BN1063","9"
"St. Arnulf_METZ333","Seez_BN1272","9"
"St. Arnulf_METZ333","St. Lo-de-Rouen_GEN1265","9"
"St. Arnulf_METZ333","St. Jacut-de-la-Mer_BN3081","9"
"St. Arnulf_METZ333","St. Sauveur Toul_BN17998","9"
"St. Arnulf_METZ333","St. Lo-de-Coutances_GEN2722","9"
"St. Arnulf_METZ333","Dol_OXF26","9"
"St. Arnulf_METZ333","Aversa_VAT12","9"
"St. Arnulf_METZ333","Vannes_GEN225","9"
"St. Arnulf_METZ333","Crowland_BL230","9"
"St. Arnulf_METZ333","Sarum_EDINB13","9"
"St. Arnulf_METZ333","Coutances_BN786D","9"
"St. Arnulf_METZ333","Lisieux_GEN113","9"
"St. Arnulf_METZ333","Rouen_ROUEN326","9"
"St. Arnulf_METZ333","_S.1935-5","9"
"St. Arnulf_METZ333","Brigittine (Syon)_OXF4","9"
"St. Arnulf_METZ333","Aberdeen_ABERDSN","9"
"St. Arnulf_METZ333","Rouen_BN10549","9"
"St. Arnulf_METZ333","St. Maur Verdun_EPIN235","9"
"Lisieux_CAEN17","Coutances_S.1953-2","9"
"Lisieux_CAEN17","The Hague_HAAG73B","9"
